AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Stage1.Output.Measurement0.U.Actual,Stage1.Output.Measurement1.U.Actual,Stage1.Output.Measurement2.U.Actual,Stage1.Output.Measurement3.U.Actual,Stage1.Output.Measurement4.U.Actual,Stage1.Output.Measurement5.U.Actual,Stage1.Output.Measurement6.U.Actual,Stage1.Output.Measurement7.U.Actual,Stage1.Output.Measurement8.U.Actual,Stage1.Output.Measurement9.U.Actual,Stage1.Output.Measurement10.U.Actual,Stage1.Output.Measurement11.U.Actual,Stage1.Output.Measurement12.U.Actual,Stage1.Output.Measurement13.U.Actual,Stage1.Output.Measurement14.U.Actual,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine4.ExitTemperature.U.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual,Machine5.ExitTemperature.U.Actual
17.24,23.53,12.72,0,12.16,21.97,0,0,3.82,2.94,20.82,17.3,8.06,5.54,1.66,2.69,14.51,298,284,21,268,21,260,35,309.8,289.9,263.9,238.6,245,66.1,50
17.24,23.53,12.34,0,0,17.78,0,0,3.97,0,19.65,17.31,7.55,5.13,1.04,2.7,0,301,287,23,270,23,263,35,309.8,289.9,263.9,238.6,245,66.1,49.8
17.24,23.53,12.34,0,0,17.78,0,0,3.97,0,19.65,17.31,7.55,5.13,1.04,2.7,0,304,289,22,275,22,266,35,309.8,289.9,263.9,238.6,245,66.1,49.1
17.24,23.53,12.34,0,0,17.78,0,0,3.97,0,19.65,17.31,7.55,5.13,1.04,2.7,0,307,291,23,277,23,269,35,309.8,289.9,263.9,238.6,245,66.1,49.6
17.24,23.53,12.29,0,0,17.83,31.44,0,3.87,0,0,17.3,7.54,5.15,1.15,2.72,0,310,294,24,278,24,272,35,309.8,289.9,263.9,238.6,245,66.1,49.5
17.24,23.53,12.29,0,0,17.83,31.44,0,3.87,0,0,17.3,7.54,5.15,1.15,2.72,0,317,299,22,280,22,275,35,309.8,289.8,263.9,238.6,245,66.1,49.1
17.24,23.53,12.54,0,11.89,21.96,0,0,3.68,2.92,20.65,17.31,7.97,5.34,1.62,2.65,14.6,317,299,22,282,22,278,35,309.8,289.8,263.9,238.6,245,66.1,49.7
17.24,23.53,12.54,0,11.89,21.96,0,0,3.68,2.92,20.65,17.31,7.97,5.34,1.62,2.65,14.6,321,302,25,284,25,283,35,309.7,289.8,263.9,238.6,245,66,49.4
17.24,23.53,12.35,0,0,18.1,31.83,0,1.67,0,0,17.34,0,0,0,1.77,0,327,308,25,286,25,285,36,309.6,289.8,263.9,238.6,245,66,48.6
17.24,23.53,12.35,0,0,18.1,31.83,0,1.67,0,0,17.34,0,0,0,1.77,0,327,308,25,288,25,288,36,309.5,289.8,263.9,238.6,245,66,49.4
17.24,23.53,12.1,0,0,0,32.81,0,3,0,0,0,0,0,0,6.91,0,330,311,24,291,24,290,37,309.4,289.8,263.9,238.6,245,66,48.5
17.24,23.53,12.1,0,0,0,32.81,0,3,0,0,0,0,0,0,6.91,0,337,316,24,293,24,292,42,309.4,289.7,263.9,238.6,245,66,48.7
17.24,23.53,12.34,0,0,0,32.02,0,3.07,0,0,17.32,7.87,5.37,1.63,2.68,0,341,319,25,294,25,294,42,309.4,289.7,263.9,238.6,245,66,49.3
17.24,23.53,12.34,0,0,0,32.02,0,3.07,0,0,17.32,7.87,5.37,1.63,2.68,0,341,319,25,296,25,296,42,309.4,289.7,263.9,238.6,245,66,49.3
17.24,23.53,12.45,16.6,13.63,0,0,0,3.71,3.08,0,17.3,8.08,5.36,1.58,2.7,14.85,347,325,24,297,24,299,42,309.4,289.7,263.9,238.6,245,66,49.2
17.24,23.53,12.45,16.6,13.63,0,0,0,3.71,3.08,0,17.3,8.08,5.36,1.58,2.7,14.85,350,328,23,298,23,301,42,309.4,289.7,263.9,238.6,245,66,48.8
17.24,23.53,12.55,0,11.89,21.98,31.11,0,3.62,0,0,17.36,8.01,5.37,1.55,2.66,14.78,353,331,24,300,24,302,41,309.5,289.8,263.9,238.6,245,66,49.2
17.24,23.53,12.55,0,11.89,21.98,31.11,0,3.62,0,0,17.36,8.01,5.37,1.55,2.66,14.78,356,334,24,302,24,304,41,309.5,289.8,263.9,238.6,245,66,49.7
17.24,23.53,12.63,11.41,11.51,21.97,30.92,0,3.73,2.89,20.59,17.3,8,5.4,1.63,2.7,15.66,359,337,24,303,24,305,42,309.6,289.8,263.9,238.6,245,65.9,49.2
17.24,23.53,12.63,11.41,11.51,21.97,30.92,0,3.73,2.89,20.59,17.3,8,5.4,1.63,2.7,15.66,362,340,24,304,24,306,42,309.7,289.8,263.9,238.6,245,65.9,49.7
17.24,23.53,12.69266509,11.03467268,11.58418525,22.08839336,31.08053541,-5.36E-07,3.694397042,2.806480936,19.93992217,17.30538787,8.074153958,5.395436358,1.630459307,2.70950683,15.7245796,363.6782157,341.2153373,24.93043358,305.0050629,24.93043358,307.0436242,42.49981425,309.7716388,289.7998908,263.9000006,238.6001093,245,65.90371264,47.40062668
17.24,23.53,12.63,11.41,11.51,21.97,30.92,0,3.73,2.89,20.59,17.3,8,5.4,1.63,2.7,15.66,365,342,25,306,25,308,43,309.8,289.8,263.9,238.6,245,65.9,49.3
17.24,23.53,12.7,11.61,11.58,21.96,30.97,0,3.94,2.88,20.67,17.3,7.88,5.43,1.63,2.65,15.67,367,344,23,307,23,309,43,309.8,289.8,263.9,238.6,245,65.9,58.6
17.24,23.53,12.7,11.61,11.58,21.96,30.97,0,3.94,2.88,20.67,17.3,7.88,5.43,1.63,2.65,15.67,369,347,23,308,23,311,44,309.9,289.8,263.9,238.6,245,65.9,52.3
17.24,23.53,0,0,0,0,0,0,1.82,0,0,17.3,0,5.1,1.13,2.71,0,372,350,23,309,23,312,44,309.9,289.8,263.9,238.6,245,65.9,49.5
17.24,23.53,0,0,0,0,0,0,1.82,0,0,17.3,0,5.1,1.13,2.71,0,374,352,22,310,22,313,43,310,289.8,263.9,238.7,245,65.9,49.2
17.24,23.53,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,0,376,354,22,312,22,314,44,310,289.8,263.9,238.7,245,65.9,49.4
17.24,23.53,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,0,378,356,22,312,22,315,44,310,289.8,263.9,238.7,245,65.9,50.2
17.24,23.53,0,0,0,0,0,0.1,0,0,0,0,13.07,0,0,0,0,380,359,22,313,22,316,44,310,289.8,263.8,238.7,245,65.9,49.1
17.24,23.53,0,0,0,0,0,0.1,0,0,0,0,13.07,0,0,0,0,382,361,21,314,21,317,45,310,289.9,263.8,238.7,245,65.9,49
17.24,23.53,12.48,0,11.94,17.89,31.41,0,3.57,0,0,17.32,8.02,5.42,1.62,2.67,0,384,363,22,315,22,318,45,310,289.9,263.8,238.7,245,65.9,49.7
17.24,23.53,12.48,0,11.94,17.89,31.41,0,3.57,0,0,17.32,8.02,5.42,1.62,2.67,0,385,366,22,315,22,320,46,309.9,289.9,263.8,238.7,245,65.9,49.2
17.24,23.53,12.65,11.1,11.63,21.95,31,0,3.93,2.85,20.72,17.34,7.93,5.4,1.66,2.68,15.43,387,367,22,316,22,320,45,309.9,289.9,263.8,238.7,245,65.9,49.1
17.24,23.53,12.65,11.1,11.63,21.95,31,0,3.93,2.85,20.72,17.34,7.93,5.4,1.66,2.68,15.43,388,369,21,316,21,321,45,309.9,289.9,263.8,238.7,245,65.8,49.6
17.24,23.53,12.61110326,10.30244211,11.60345481,21.59955133,30.98404587,0.00021997,3.917045531,2.664632048,19.1065791,17.29335882,7.959058448,5.38932365,1.63503854,2.670606093,14.26793831,388.4044854,370.5001676,20.5485408,316.2103348,20.5485408,321.7634508,44.83819579,309.8728812,289.9000389,263.8000067,238.7,245,65.75512611,50.42218339
17.24,23.53,12.64026894,10.91493376,11.561536,21.81340518,31.05174047,8.99E-05,3.981302279,2.858162364,20.01603738,17.30673042,7.968160258,5.395756022,1.604886046,2.669794117,15.0192027,388.4810713,371.2594201,20.815427,316.7869215,20.815427,322.0148373,44.30811459,309.8252034,289.9000159,263.8000027,238.7,245,65.78166703,51.28919191
17.24,23.53,12.66,11.32,11.54,21.96,31.09,0,4.02,2.98,20.65,17.32,7.97,5.4,1.59,2.67,15.53,389,372,21,317,21,322,44,309.8,289.9,263.8,238.7,245,65.8,50.8
17.24,23.53,12.66,11.32,11.54,21.96,31.09,0,4.02,2.98,20.65,17.32,7.97,5.4,1.59,2.67,15.53,390,373,21,317,21,322,44,309.8,289.9,263.8,238.7,245,65.8,49.3
17.24,23.53,12.66,11.32,11.54,21.96,31.09,0,4.02,2.98,20.65,17.32,7.97,5.4,1.59,2.67,15.53,391,375,21,318,21,323,44,309.8,289.9,263.8,238.7,245,65.8,49.7
17.24,23.53,12.69,11.27,11.56,21.96,31.03,0,4.09,2.88,20.69,17.46,7.9,5.4,1.62,2.67,15.52,392,377,21,318,21,323,43,309.8,289.9,263.8,238.7,245,65.8,49.4
17.24,23.53,12.69,11.27,11.56,21.96,31.03,0,4.09,2.88,20.69,17.46,7.9,5.4,1.62,2.67,15.52,392,379,21,318,21,324,43,309.8,289.9,263.8,238.7,245,65.8,49.1
17.24,23.53,12.69,11.25,11.54,21.96,31.08,0,4.06,2.96,20.65,17.31,8,5.19,1.69,2.75,15.48,393,380,21,318,21,324,43,309.9,289.9,263.8,238.7,245,65.8,49.4
17.24,23.53,12.69,11.25,11.54,21.96,31.08,0,4.06,2.96,20.65,17.31,8,5.19,1.69,2.75,15.48,393,382,19,318,19,325,44,309.9,289.9,263.8,238.7,245,65.8,49.6
17.24,23.53,0,0,20.83,0,0,0,0,0,0,15.8,0,0,0,0,0,393,383,21,318,21,325,43,309.9,289.9,263.8,238.7,245,65.8,48.8
17.24,23.53,0,0,20.83,0,0,0,0,0,0,15.8,0,0,0,0,0,393,384,20,318,20,325,42,309.9,289.9,263.8,238.7,245,65.8,49
17.24,23.53,0,0,20.83,0,0,0,0,0,0,15.8,0,0,0,0,0,393,386,20,318,20,326,42,309.9,289.9,263.8,238.7,245,65.8,49.1
17.24,23.53,12.7,11.28,11.48,21.97,31.17,0,4.08,2.88,20.65,17.43,7.89,5.41,1.68,2.71,15.47,393,387,19,318,19,326,42,310,289.9,263.8,238.7,245,65.8,49.5
17.24,23.53,12.7,11.28,11.48,21.97,31.17,0,4.08,2.88,20.65,17.43,7.89,5.41,1.68,2.71,15.47,393,388,21,318,21,326,42,310,289.9,263.9,238.7,245,65.7,49.6
17.24,23.53,12.7,11.28,11.48,21.97,31.17,0,4.08,2.88,20.65,17.43,7.89,5.41,1.68,2.71,15.47,392,389,19,317,19,326,41,310,289.9,263.9,238.6,245,65.7,49.1
17.24,23.53,12.73,11.33,11.56,21.93,31.19,0,4.07,2.88,20.72,17.45,7.93,5.42,1.68,2.68,15.49,392,390,19,317,19,326,41,310,289.9,263.9,238.6,245,65.7,49.6
17.24,23.53,12.73,11.33,11.56,21.93,31.19,0,4.07,2.88,20.72,17.45,7.93,5.42,1.68,2.68,15.49,391,391,19,317,19,326,41,310.1,289.9,263.9,238.6,245,65.7,50.1
17.24,23.53,12.66,11.19,11.58,21.96,31.17,0,4.1,2.9,20.75,17.44,7.96,5.43,1.69,2.7,15.38,390,392,19,316,19,326,41,310.1,289.9,264,238.6,245,65.7,50.3
17.24,23.53,12.66,11.19,11.58,21.96,31.17,0,4.1,2.9,20.75,17.44,7.96,5.43,1.69,2.7,15.38,390,393,19,316,19,326,41,310.1,289.9,264,238.6,245,65.7,49.7
17.24,23.53,12.69,11.19,11.55,21.97,31.09,0,4.07,2.86,20.67,17.44,7.97,5.41,1.65,2.69,15.43,389,393,19,316,19,326,41,310.1,289.9,264,238.6,245,65.7,49.8
17.24,23.53,12.69,11.19,11.55,21.97,31.09,0,4.07,2.86,20.67,17.44,7.97,5.41,1.65,2.69,15.43,388,394,18,315,18,325,41,310.1,289.9,264,238.6,245,65.7,50.6
17.24,23.53,12.69,11.19,11.55,21.97,31.09,0,4.07,2.86,20.67,17.44,7.97,5.41,1.65,2.69,15.43,387,394,17,315,17,325,41,310.1,290,264,238.6,245,65.7,50.6
17.24,23.53,12.69,11.24,11.54,21.94,31.16,0,4.18,2.91,20.62,17.46,7.94,5.44,1.62,2.7,15.37,387,395,17,315,17,325,41,310.1,290,264,238.5,245,65.7,50.2
17.24,23.53,12.69,11.24,11.54,21.94,31.16,0,4.18,2.91,20.62,17.46,7.94,5.44,1.62,2.7,15.37,386,395,17,315,17,324,42,310.1,290,264,238.5,245,65.7,49.9
17.24,23.53,12.66,11.22,11.57,21.96,31.16,0,4.03,2.88,20.65,17.43,7.92,5.4,1.65,2.7,15.45,385,396,17,314,17,324,43,310.1,290,264,238.5,245,65.7,48.8
17.24,23.53,12.66,11.22,11.57,21.96,31.16,0,4.03,2.88,20.65,17.43,7.92,5.4,1.65,2.7,15.45,384,396,18,314,18,324,43,310.1,290,264,238.5,245,65.6,50.2
17.24,23.53,12.66,11.22,11.57,21.96,31.16,0,4.03,2.88,20.65,17.43,7.92,5.4,1.65,2.7,15.45,383,396,17,314,17,323,43,310.1,290,264.1,238.5,245,65.6,49
17.24,23.53,12.65,11.23,11.55,21.98,31.13,0,4.03,2.82,20.66,17.44,7.88,5.42,1.67,2.7,15.4,382,396,18,314,18,322,43,310,290,264.1,238.4,244.9,65.6,49.4
17.24,23.53,12.65,11.23,11.55,21.98,31.13,0,4.03,2.82,20.66,17.44,7.88,5.42,1.67,2.7,15.4,382,396,17,313,17,322,43,310,290,264.1,238.4,244.8,65.6,50.1
17.24,23.53,12.67,11.26,11.54,21.98,31.13,0,4.2,2.89,20.7,17.54,7.9,5.4,1.64,2.71,15.3,381,396,17,313,17,321,43,310,290.1,264.1,238.4,244.6,65.6,49.3
17.24,23.53,12.67,11.26,11.54,21.98,31.13,0,4.2,2.89,20.7,17.54,7.9,5.4,1.64,2.71,15.3,380,396,17,313,17,320,44,310,290.1,264.1,238.4,244.4,65.6,45.4
17.24,23.53,12.64,11.19,11.59,21.97,31.18,0,3.99,2.89,20.67,17.49,7.98,5.38,1.61,2.69,15.42,379,396,17,313,17,320,45,310,290.1,264.1,238.4,244.2,65.6,49.9
17.24,23.53,12.64,11.19,11.59,21.97,31.18,0,3.99,2.89,20.67,17.49,7.98,5.38,1.61,2.69,15.42,378,396,17,313,17,319,46,310,290.1,264.1,238.4,244,65.6,48.8
17.24,23.53,12.64,11.19,11.59,21.97,31.18,0,3.99,2.89,20.67,17.49,7.98,5.38,1.61,2.69,15.42,378,395,18,313,18,318,47,309.9,290.1,264.2,238.4,243.9,65.6,49
17.24,23.53,12.65,11.27,11.54,21.95,31.09,0,4.06,2.86,20.7,17.56,7.95,5.42,1.68,2.72,15.42,377,395,17,313,17,318,48,309.9,290.1,264.2,238.3,243.7,65.6,49.2
17.24,23.53,12.65,11.27,11.54,21.95,31.09,0,4.06,2.86,20.7,17.56,7.95,5.42,1.68,2.72,15.42,376,394,17,312,17,317,48,309.9,290.1,264.2,238.3,243.6,65.6,49.4
17.24,23.53,12.65,11.27,11.54,21.95,31.09,0,4.06,2.86,20.7,17.56,7.95,5.42,1.68,2.72,15.42,376,394,16,312,16,316,48,309.9,290.1,264.2,238.3,243.5,65.5,49.5
17.24,23.53,12.7,11.28,11.6,21.96,31.13,0,4.1,2.89,20.7,17.51,7.98,5.41,1.65,2.71,15.44,375,393,17,312,17,315,48,309.9,290.1,264.2,238.3,243.4,65.5,49.5
17.24,23.53,12.7,11.28,11.6,21.96,31.13,0,4.1,2.89,20.7,17.51,7.98,5.41,1.65,2.71,15.44,375,393,17,313,17,314,48,309.9,290.1,264.2,238.3,243.3,65.5,50.4
17.24,23.53,12.72,11.26,11.59,21.94,31.17,0,4.23,2.86,20.71,17.5,8,5.42,1.63,2.73,15.36,374,392,17,313,17,313,47,309.9,290.1,264.2,238.3,243.2,65.5,50.7
17.24,23.53,12.72,11.26,11.59,21.94,31.17,0,4.23,2.86,20.71,17.5,8,5.42,1.63,2.73,15.36,374,392,18,313,18,313,47,309.8,290.1,264.3,238.3,243.2,65.5,49.4
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,374,391,19,313,19,313,47,309.8,290.1,264.3,238.3,243.1,65.5,49.4
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,373,390,17,313,17,312,48,309.8,290.1,264.3,238.2,243.1,65.5,49.3
17.24,23.53,12.73,11.33,11.63,21.96,31.13,0,4.09,2.9,20.72,17.49,7.99,5.41,1.62,2.7,15.45,373,390,17,314,17,311,47,309.8,290.1,264.3,238.2,243,65.5,49.1
17.24,23.53,12.74,11.29,11.65,21.95,31.23,0,4.11,2.9,20.69,17.54,7.97,5.4,1.64,2.72,15.47,372,389,17,314,17,310,46,309.8,290.1,264.3,238.2,243,65.4,49.6
